time,true,measurement,prediction,update
0,0,-6.19868,0,-0.525905
0.1,4.95095,2.91359,-0.671815,-0.119521
0.2,9.8038,17.8638,-0.317506,1.67647
0.3,14.5586,16.5574,1.53377,3.1504
0.4,19.2152,26.1292,3.02507,5.37478
0.5,23.7737,24.0353,5.308,7.17374
0.6,28.2342,23.7135,7.12546,8.75216
0.7,32.5966,41.9498,8.70148,11.8344
0.8,36.8608,28.5587,11.8596,13.4071
0.9,41.0269,37.5865,13.4157,15.6113
1,45.095,45.4736,15.6316,18.2826
1.1,49.0649,56.4319,18.331,21.6376
1.2,52.9368,53.4229,21.7383,24.4238
1.3,56.7105,52.2487,24.5431,26.8436
1.4,60.3862,59.2423,26.9606,29.5953
1.5,63.9638,69.7884,29.7196,32.9299
1.6,67.4432,70.3677,33.0796,36.0049
1.7,70.8246,67.5218,36.1648,38.5748
1.8,74.1078,76.7816,38.7227,41.601
1.9,77.293,74.254,41.7501,44.1611
2,80.38,84.1095,44.2924,47.1986
2.1,83.369,74.6101,47.3256,49.2791
2.2,86.2598,81.4341,49.369,51.6318
2.3,89.0526,86.6811,51.6922,54.1218
2.4,91.7472,89.0143,54.1556,56.5371
2.5,94.3438,94.1513,56.5408,59.0681
2.6,96.8422,97.8169,59.0439,61.6065
2.7,99.2426,96.8168,61.5535,63.8489
2.8,101.545,99.6934,63.7582,66.061
2.9,103.749,98.1286,65.9312,67.9668
3,105.855,114.538,67.7898,70.6846
3.1,107.863,112.274,70.4801,73.031
3.2,109.773,102.259,72.7891,74.5739
3.3,111.585,114.438,74.2755,76.6568
3.4,113.298,108.648,76.3144,78.2141
3.5,114.914,110.239,77.8158,79.6949
3.6,116.431,112.608,79.2393,81.1455
3.7,117.851,119.105,80.6324,82.7902
3.8,119.172,118.231,82.2239,84.2201
3.9,120.395,112.829,83.5965,85.2097
4,121.52,128.133,84.5202,86.858
4.1,122.547,132.22,86.1163,88.5488
4.2,123.476,129.738,87.7558,89.9478
4.3,124.307,129.515,89.098,91.1834
4.4,125.039,121.554,90.2741,91.8872
4.5,125.674,128.359,90.9092,92.7991
4.6,126.21,129.684,91.7567,93.6456
4.7,126.649,129.355,92.5382,94.3519
4.8,126.989,117.145,93.1777,94.3785
4.9,127.231,129.002,93.1266,94.8547
5,127.375,125.099,93.5335,95.0484
5.1,127.421,129.311,93.6539,95.3321
5.2,127.369,125.998,93.8666,95.372
5.3,127.219,127.247,93.8323,95.3759
5.4,126.97,118.106,93.7622,94.9045
5.5,126.624,129.222,93.2103,94.8287
5.6,126.179,126.395,93.0609,94.5508
5.7,125.637,115.803,92.7071,93.764
5.8,124.996,122.592,91.8377,93.1923
5.9,124.257,115.075,91.1876,92.2553
6,123.42,122.131,90.1677,91.5419
6.1,122.485,120.526,89.3756,90.704
6.2,121.452,134.931,88.4581,90.3592
6.3,120.321,128.613,88.0413,89.6986
6.4,119.091,113.403,87.3049,88.404
6.5,117.764,111.662,85.9269,87.0022
6.6,116.338,116.894,84.4411,85.7514
6.7,114.815,111.45,83.1092,84.2583
6.8,113.193,106.202,81.5328,82.5401
6.9,111.473,109.086,79.7292,80.8926
7,109.655,112.871,77.9981,79.343
7.1,107.739,114.615,76.367,77.8153
7.2,105.725,99.4303,74.7589,75.7301
7.3,103.613,104.91,72.5873,73.8081
7.4,101.402,93.2787,70.5817,71.4699
7.5,99.0938,94.109,68.1559,69.144
7.6,96.6872,95.9408,65.7434,66.8617
7.7,94.1826,87.5135,63.3758,64.2881
7.8,91.5798,84.3622,60.7145,61.6034
7.9,88.879,92.1692,57.9417,59.1584
8,86.08,84.4698,55.4121,56.4559
8.1,83.183,81.2798,52.623,53.6453
8.2,80.1878,83.1556,49.7254,50.8858
8.3,77.0946,82.3843,46.8803,48.0938
8.4,73.9032,67.8394,44.0031,44.8544
8.5,70.6138,70.1103,40.6745,41.6862
8.6,67.2262,69.5697,37.4188,38.5023
8.7,63.7406,67.836,34.148,35.2675
8.8,60.1568,59.2174,30.8265,31.7831
8.9,56.475,56.3597,27.2536,28.2231
9,52.695,51.1811,23.6052,24.5234
9.1,48.817,43.8201,19.8165,20.6266
9.2,44.8408,36.7004,15.8296,16.5459
9.3,40.7666,39.5133,11.6577,12.5623
9.4,36.5942,39.8882,7.58473,8.60446
9.5,32.3238,27.4565,3.53849,4.32201
9.6,27.9552,21.9461,-0.834666,-0.087637
9.7,23.4886,21.4913,-5.33543,-4.48566
9.8,18.9238,15.2885,-9.82369,-9.02571
9.9,14.261,16.4536,-14.4545,-13.5101
10,9.5,7.3523,-19.0284,-18.209
